Model,Seed,Mean Distance
VRP-Agent,1234,5.3614091873168945
VRP-Random-Agent,1234,20.22842788696289
VRP-Agent,1234,5.834708213806152
VRP-Random-Agent,1234,14.144927978515625
VRP-Agent,1234,5.506503582000732
VRP-Random-Agent,1234,19.950939178466797
VRP-Agent,1234,4.928564548492432
VRP-Random-Agent,1234,18.68184471130371
VRP-Agent,1234,4.761748790740967
VRP-Random-Agent,1234,17.865577697753906
VRP-Agent,1234,5.936975955963135
VRP-Random-Agent,1234,15.125547409057617
VRP-Agent,1234,5.432812213897705
VRP-Random-Agent,1234,14.734214782714844
VRP-Agent,1234,5.642217636108398
VRP-Random-Agent,1234,18.418773651123047
VRP-Agent,1234,5.178006172180176
VRP-Random-Agent,1234,19.458852767944336
VRP-Agent,1234,5.580257415771484
VRP-Random-Agent,1234,12.14808464050293
VRP-Agent,1234,5.215854167938232
VRP-Random-Agent,1234,18.49126625061035
VRP-Agent,1234,5.674301624298096
VRP-Random-Agent,1234,17.464069366455078
VRP-Agent,1234,6.1366963386535645
VRP-Random-Agent,1234,12.226149559020996
VRP-Agent,1234,5.632919788360596
VRP-Random-Agent,1234,16.519582748413086
VRP-Agent,1234,4.063223361968994
VRP-Random-Agent,1234,14.058818817138672
VRP-Agent,1234,5.665453910827637
VRP-Random-Agent,1234,19.099388122558594
VRP-Agent,1234,4.760246276855469
VRP-Random-Agent,1234,18.73339080810547
VRP-Agent,1234,5.456202030181885
VRP-Random-Agent,1234,14.675941467285156
VRP-Agent,1234,5.16931676864624
VRP-Random-Agent,1234,18.177186965942383
VRP-Agent,1234,5.4268107414245605
VRP-Random-Agent,1234,15.167695045471191
VRP-Agent,1234,4.944955348968506
VRP-Random-Agent,1234,17.903894424438477
VRP-Agent,1234,5.622271537780762
VRP-Random-Agent,1234,18.37809944152832
VRP-Agent,1234,5.562308311462402
VRP-Random-Agent,1234,16.814489364624023
VRP-Agent,1234,5.542102336883545
VRP-Random-Agent,1234,17.15407943725586
VRP-Agent,1234,5.017999172210693
VRP-Random-Agent,1234,17.280254364013672
VRP-Agent,1234,4.717101097106934
VRP-Random-Agent,1234,18.79665184020996
VRP-Agent,1234,4.786348342895508
VRP-Random-Agent,1234,13.011909484863281
VRP-Agent,1234,4.931831359863281
VRP-Random-Agent,1234,20.70554542541504
VRP-Agent,1234,5.826593399047852
VRP-Random-Agent,1234,14.939448356628418
VRP-Agent,1234,6.1068902015686035
VRP-Random-Agent,1234,17.092878341674805
VRP-Agent,1234,5.825319290161133
VRP-Random-Agent,1234,17.716655731201172
VRP-Agent,1234,5.497406959533691
VRP-Random-Agent,1234,19.31126594543457
VRP-Agent,1234,5.163349628448486
VRP-Random-Agent,1234,12.972063064575195
VRP-Agent,1234,4.962175369262695
VRP-Random-Agent,1234,16.108985900878906
VRP-Agent,1234,4.491568088531494
VRP-Random-Agent,1234,19.979198455810547
VRP-Agent,1234,4.91830587387085
VRP-Random-Agent,1234,16.756675720214844
VRP-Agent,1234,5.740398406982422
VRP-Random-Agent,1234,15.331127166748047
VRP-Agent,1234,5.185202598571777
VRP-Random-Agent,1234,15.491861343383789
VRP-Agent,1234,5.051525592803955
VRP-Random-Agent,1234,14.225218772888184
VRP-Agent,1234,5.8676862716674805
VRP-Random-Agent,1234,15.455240249633789
VRP-Agent,1234,4.570919036865234
VRP-Random-Agent,1234,13.713777542114258
VRP-Agent,1234,5.166698455810547
VRP-Random-Agent,1234,18.596691131591797
VRP-Agent,1234,5.200448036193848
VRP-Random-Agent,1234,15.850625991821289
VRP-Agent,1234,5.434986591339111
VRP-Random-Agent,1234,15.38132095336914
VRP-Agent,1234,5.4225664138793945
VRP-Random-Agent,1234,14.723556518554688
VRP-Agent,1234,5.026189804077148
VRP-Random-Agent,1234,17.787843704223633
VRP-Agent,1234,6.029311656951904
VRP-Random-Agent,1234,15.88271427154541
VRP-Agent,1234,5.456533432006836
VRP-Random-Agent,1234,15.237278938293457
VRP-Agent,1234,5.840623378753662
VRP-Random-Agent,1234,16.328163146972656
VRP-Agent,1234,5.490441799163818
VRP-Random-Agent,1234,17.061790466308594
VRP-Agent,1234,5.766964435577393
VRP-Random-Agent,1234,18.44447898864746
VRP-Agent,1234,5.290549278259277
VRP-Random-Agent,1234,17.172508239746094
VRP-Agent,1234,5.478057861328125
VRP-Random-Agent,1234,20.525922775268555
VRP-Agent,1234,5.056482791900635
VRP-Random-Agent,1234,18.657726287841797
VRP-Agent,1234,5.568114757537842
VRP-Random-Agent,1234,18.18341064453125
VRP-Agent,1234,5.862673282623291
VRP-Random-Agent,1234,19.63324737548828
VRP-Agent,1234,5.994488716125488
VRP-Random-Agent,1234,19.72104263305664
VRP-Agent,1234,6.322743892669678
VRP-Random-Agent,1234,19.908031463623047
VRP-Agent,1234,5.613890647888184
VRP-Random-Agent,1234,18.284032821655273
VRP-Agent,1234,5.665316104888916
VRP-Random-Agent,1234,15.268023490905762
VRP-Agent,1234,5.649434566497803
VRP-Random-Agent,1234,16.756547927856445
VRP-Agent,1234,5.427348613739014
VRP-Random-Agent,1234,17.039749145507812
VRP-Agent,1234,5.74049186706543
VRP-Random-Agent,1234,16.151721954345703
VRP-Agent,1234,5.260211944580078
VRP-Random-Agent,1234,17.769973754882812
VRP-Agent,1234,5.9629669189453125
VRP-Random-Agent,1234,19.8452091217041
VRP-Agent,1234,5.831751823425293
VRP-Random-Agent,1234,16.387470245361328
VRP-Agent,1234,5.197595596313477
VRP-Random-Agent,1234,16.467626571655273
VRP-Agent,1234,5.939241886138916
VRP-Random-Agent,1234,13.991924285888672
VRP-Agent,1234,5.838253974914551
VRP-Random-Agent,1234,16.74683380126953
VRP-Agent,1234,5.955258369445801
VRP-Random-Agent,1234,19.665603637695312
VRP-Agent,1234,5.424875259399414
VRP-Random-Agent,1234,16.948957443237305
VRP-Agent,1234,6.2003912925720215
VRP-Random-Agent,1234,16.770915985107422
VRP-Agent,1234,5.261661052703857
VRP-Random-Agent,1234,19.02423095703125
VRP-Agent,1234,4.94509744644165
VRP-Random-Agent,1234,16.191997528076172
VRP-Agent,1234,5.013197898864746
VRP-Random-Agent,1234,15.47397518157959
VRP-Agent,1234,5.630739212036133
VRP-Random-Agent,1234,19.248321533203125
VRP-Agent,1234,6.096795082092285
VRP-Random-Agent,1234,16.860843658447266
VRP-Agent,1234,5.035618782043457
VRP-Random-Agent,1234,16.597373962402344
VRP-Agent,1234,5.250283241271973
VRP-Random-Agent,1234,16.782188415527344
VRP-Agent,1234,4.844364166259766
VRP-Random-Agent,1234,18.400245666503906
VRP-Agent,1234,5.398545265197754
VRP-Random-Agent,1234,18.035673141479492
VRP-Agent,1234,6.256927490234375
VRP-Random-Agent,1234,18.044418334960938
VRP-Agent,1234,5.237442970275879
VRP-Random-Agent,1234,16.16416358947754
VRP-Agent,1234,6.275486946105957
VRP-Random-Agent,1234,21.017854690551758
VRP-Agent,1234,5.013373851776123
VRP-Random-Agent,1234,14.865386009216309
VRP-Agent,1234,5.6340789794921875
VRP-Random-Agent,1234,19.647329330444336
VRP-Agent,1234,4.549896240234375
VRP-Random-Agent,1234,13.92255687713623
VRP-Agent,1234,5.293117523193359
VRP-Random-Agent,1234,15.896044731140137
VRP-Agent,1234,5.668612003326416
VRP-Random-Agent,1234,18.66526985168457
VRP-Agent,1234,6.027126789093018
VRP-Random-Agent,1234,15.313995361328125
VRP-Agent,1234,5.8455376625061035
VRP-Random-Agent,1234,20.745384216308594
VRP-Agent,1234,5.560493469238281
VRP-Random-Agent,1234,18.064191818237305
VRP-Agent,1234,6.330808162689209
VRP-Random-Agent,1234,19.778921127319336
VRP-Agent,1234,5.64542293548584
VRP-Random-Agent,1234,21.055477142333984
VRP-Agent,1234,5.345834732055664
VRP-Random-Agent,1234,17.735063552856445
VRP-Agent,1234,6.612349987030029
VRP-Random-Agent,1234,14.8350248336792
VRP-Agent,1234,5.984623432159424
VRP-Random-Agent,1234,17.095399856567383
VRP-Agent,1234,5.385642051696777
VRP-Random-Agent,1234,19.075870513916016
VRP-Agent,1234,5.280730247497559
VRP-Random-Agent,1234,16.802621841430664
VRP-Agent,1234,5.94179105758667
VRP-Random-Agent,1234,18.3767032623291
VRP-Agent,1234,5.575193405151367
VRP-Random-Agent,1234,15.863457679748535
VRP-Agent,1234,5.659483432769775
VRP-Random-Agent,1234,18.265140533447266
VRP-Agent,1234,5.2409987449646
VRP-Random-Agent,1234,17.114294052124023
VRP-Agent,1234,4.79963493347168
VRP-Random-Agent,1234,14.53375244140625
VRP-Agent,1234,5.165861129760742
VRP-Random-Agent,1234,16.098541259765625
VRP-Agent,1234,6.013473033905029
VRP-Random-Agent,1234,17.236852645874023
VRP-Agent,1234,5.994967460632324
VRP-Random-Agent,1234,17.139888763427734
VRP-Agent,1234,5.2670745849609375
VRP-Random-Agent,1234,13.731904983520508
VRP-Agent,1234,4.746894359588623
VRP-Random-Agent,1234,15.752674102783203
VRP-Agent,1234,5.743931293487549
VRP-Random-Agent,1234,20.8105525970459
VRP-Agent,1234,5.04822301864624
VRP-Random-Agent,1234,15.261155128479004
VRP-Agent,1234,5.158614635467529
VRP-Random-Agent,1234,18.822967529296875
VRP-Agent,1234,5.40415096282959
VRP-Random-Agent,1234,14.520277976989746
VRP-Agent,1234,5.281813621520996
VRP-Random-Agent,1234,19.327667236328125
VRP-Agent,1234,6.037736415863037
VRP-Random-Agent,1234,13.9883394241333
VRP-Agent,1234,4.669142723083496
VRP-Random-Agent,1234,17.549474716186523
VRP-Agent,1234,5.4283833503723145
VRP-Random-Agent,1234,18.30500602722168
VRP-Agent,1234,4.940033912658691
VRP-Random-Agent,1234,16.642122268676758
VRP-Agent,1234,5.152832984924316
VRP-Random-Agent,1234,14.589844703674316
VRP-Agent,1234,5.250210285186768
VRP-Random-Agent,1234,15.30742073059082
VRP-Agent,1234,5.702971935272217
VRP-Random-Agent,1234,16.593059539794922
VRP-Agent,1234,5.581401348114014
VRP-Random-Agent,1234,17.915468215942383
VRP-Agent,1234,4.508737087249756
VRP-Random-Agent,1234,16.251541137695312
VRP-Agent,1234,5.541632652282715
VRP-Random-Agent,1234,19.848630905151367
VRP-Agent,1234,5.143932819366455
VRP-Random-Agent,1234,16.980863571166992
VRP-Agent,1234,5.803622245788574
VRP-Random-Agent,1234,18.97018814086914
VRP-Agent,1234,5.176840782165527
VRP-Random-Agent,1234,15.66472339630127
VRP-Agent,1234,5.645607948303223
VRP-Random-Agent,1234,17.86815071105957
VRP-Agent,1234,6.384283542633057
VRP-Random-Agent,1234,15.815104484558105
VRP-Agent,1234,5.489633560180664
VRP-Random-Agent,1234,15.422430038452148
VRP-Agent,1234,5.0825066566467285
VRP-Random-Agent,1234,16.564743041992188
VRP-Agent,1234,4.970789909362793
VRP-Random-Agent,1234,16.561161041259766
VRP-Agent,1234,4.440183162689209
VRP-Random-Agent,1234,17.818042755126953
VRP-Agent,1234,6.25883674621582
VRP-Random-Agent,1234,17.197378158569336
VRP-Agent,1234,5.3225860595703125
